Time,Electric Degrade,Electricity Availability,Communications Function,IT Function,Healthcare Function,Transportation Function,Emergency Services Functionality,Critical Manufacturing Functionality,Water Functionality,
177,0.2,20,100,100,100,100,100,100,100,
178,0.2,20,100,100,100,100,100,100,100,
179,0.2,20,100,100,100,100,100,100,100,
180,0.2,20,100,100,100,100,100,100,100,
181,0.2,20,100,100,100,100,100,100,100,
182,0.2,20,100,100,100,100,100,100,100,
183,0.2,20,100,100,100,100,100,100,100,
184,0.2,20,100,100,100,100,100,100,100,
185,0.2,20,100,100,100,100,100,100,100,
186,0.2,20,100,100,100,100,100,100,100,
187,0.2,20,100,100,100,100,100,100,100,
188,0.2,20,100,100,100,100,100,100,100,
189,0.2,20,100,100,100,100,100,100,100,
190,0.2,20,100,100,100,100,100,100,100,
191,0.2,20,100,100,100,100,100,100,100,
192,0.2,20,100,100,100,100,100,100,100,
193,0.2,20,100,100,100,100,100,100,100,
194,0.2,20,100,100,100,100,100,100,100,
195,0.2,20,100,100,100,100,100,100,100,
196,0.2,20,100,100,100,100,100,100,100,
197,0.2,20,100,100,100,100,100,100,100,
198,0.2,20,100,100,100,100,100,100,100,
199,0.2,20,100,100,100,100,100,100,100,
200,0.2,20,100,100,100,100,100,100,100,
201,0.2,20,100,100,100,100,100,100,100,
202,0.2,20,100,100,100,100,100,100,100,
203,0.2,20,100,100,100,100,100,100,100,
204,0.2,20,100,100,100,100,100,100,100,
205,0.2,20,100,100,100,100,100,100,100,
206,0.2,20,100,100,100,100,100,100,100,
207,0.2,20,100,100,100,100,100,100,100,
208,0.2,20,100,100,100,100,100,100,100,
209,0.2,20,100,100,100,100,100,100,100,
210,0.2,20,100,100,100,100,100,100,100,
211,0.2,20,100,100,100,100,100,100,100,
212,0.2,20,100,100,100,100,100,100,100,
213,0.2,20,100,100,100,100,100,100,100,
214,0.2,20,100,100,100,100,100,100,100,
215,0.2,20,100,100,100,100,100,100,100,
216,0.2,20,100,100,100,100,100,100,100,
217,0.2,20,100,100,100,100,100,100,100,
218,0.2,20,100,100,100,100,100,100,100,
219,0.2,20,100,100,100,100,100,100,100,
220,0.2,20,100,100,100,100,100,100,100,
221,0.2,20,100,100,100,100,100,100,100,
222,0.2,20,100,100,100,100,100,100,100,
223,0.2,20,100,100,100,100,100,100,100,
224,0.2,20,100,100,100,100,100,100,100,
225,0.2,20,100,100,100,100,100,100,100,
226,0.2,20,100,100,100,100,100,100,100,
227,0.2,20,100,100,100,100,100,100,100,
228,0.2,20,100,100,100,100,100,100,100,
229,0.2,20,100,100,100,100,100,100,100,
230,0.2,20,100,100,100,100,100,100,100,
231,0.2,20,100,100,100,100,100,100,100,
232,0.2,20,100,100,100,100,100,100,100,
233,0.2,20,100,100,100,100,100,100,100,
234,0.2,20,100,100,100,100,100,100,100,
235,0.2,20,100,100,100,100,100,100,100,
236,0.2,20,100,100,100,100,100,100,100,
237,0.2,20,100,100,100,100,100,100,100,
238,0.2,20,100,100,100,100,100,100,100,
239,0.2,20,100,100,100,100,100,100,100,
240,0.2,20,100,100,100,100,100,100,100,
241,0.2,20,100,100,100,100,100,100,100,
242,0.2,20,100,100,100,100,100,100,100,
243,0.2,20,100,100,100,100,100,100,100,
244,0.2,20,100,100,100,100,100,100,100,
245,0.2,20,100,100,100,100,100,100,100,
246,0.2,20,100,100,100,100,100,100,100,
247,0.2,20,100,100,100,100,100,100,100,
248,0.2,20,100,100,100,100,100,100,100,
249,0.2,20,100,100,100,100,100,100,100,
250,0.2,20,100,100,100,100,100,100,100,
251,0.2,20,100,100,100,100,100,100,100,
252,0.2,20,100,100,100,100,100,100,100,
253,0.2,20,100,100,100,100,100,100,100,
254,0.2,20,100,100,100,100,100,100,100,
255,0.2,20,100,100,100,100,100,100,100,
256,0.2,20,100,100,100,100,100,100,100,
257,0.2,20,100,100,100,100,100,100,100,
258,0.2,20,100,100,100,100,100,100,100,
259,0.2,20,100,100,100,100,100,100,100,
260,0.2,20,100,100,100,100,100,100,100,
261,0.2,20,100,100,100,100,100,100,100,
262,0.2,20,100,100,100,100,100,100,100,
263,0.2,20,100,100,100,100,100,100,100,
264,0.2,20,100,100,100,100,100,100,100,
265,0.2,20,100,100,100,100,100,100,100,
266,0.2,20,100,100,100,100,100,100,100,
267,0.2,20,100,100,100,100,100,100,100,
268,0.2,20,100,100,100,100,100,100,100,
269,0.2,20,100,100,100,100,100,100,100,
270,0.2,20,100,100,100,100,100,100,100,
271,0.2,20,100,100,100,100,100,100,100,
272,0.2,20,100,100,100,100,100,100,100,
273,0.2,20,100,100,100,100,100,100,100,
274,0.2,20,100,100,100,100,100,100,100,
275,0.2,20,100,100,100,100,100,100,100,
276,0.2,20,100,100,100,100,100,100,100,
277,0.2,20,100,100,100,100,100,100,100,
278,0.2,20,100,100,100,100,100,100,100,
279,0.2,20,100,100,100,100,100,100,100,
280,0.2,20,100,100,100,100,100,100,100,
281,0.2,20,100,100,100,100,100,100,100,
282,0.2,20,100,100,100,100,100,100,100,
283,0.2,20,100,100,100,100,100,100,100,
284,0.2,20,100,100,100,100,100,100,100,
285,0.2,20,100,100,100,100,100,100,100,
286,0.2,20,100,100,100,100,100,100,100,
287,0.2,20,100,100,100,100,100,100,100,
288,0.2,20,100,100,100,100,100,100,100,
289,0.2,20,100,100,100,100,100,100,100,
290,0.2,20,100,100,100,100,100,100,100,
291,0.2,20,100,100,100,100,100,100,100,
292,0.2,20,100,100,100,100,100,100,100,
293,0.2,20,100,100,100,100,100,100,100,
294,0.2,20,100,100,100,100,100,100,100,
295,0.2,20,100,100,100,100,100,100,100,
296,0.2,20,100,100,100,100,100,100,100,
297,0.2,20,100,100,100,100,100,100,100,
298,0.2,20,100,100,100,100,100,100,100,
299,0.2,20,100,100,100,100,100,100,100,
300,0.2,20,100,100,100,100,100,100,100,
301,0.2,20,100,100,100,100,100,100,100,
302,0.2,20,100,100,100,100,100,100,100,
303,0.2,20,100,100,100,100,100,100,100,
304,0.2,20,100,100,100,100,100,100,100,
305,0.2,20,100,100,100,100,100,100,100,
306,0.2,20,100,100,100,100,100,100,100,
307,0.2,20,100,100,100,100,100,100,100,
308,0.2,20,100,100,100,100,100,100,100,
309,0.2,20,100,100,100,100,100,100,100,
310,0.2,20,100,100,100,100,100,100,100,
311,0.2,20,100,100,100,100,100,100,100,
312,0.2,20,100,100,100,100,100,100,100,
313,0.2,20,100,100,100,100,100,100,100,
314,0.2,20,100,100,100,100,100,100,100,
315,0.2,20,100,100,100,100,100,100,100,
316,0.2,20,100,100,100,100,100,100,100,
317,0.2,20,100,100,100,100,100,100,100,
318,0.2,20,100,100,100,100,100,100,100,
319,0.2,20,100,100,100,100,100,100,100,
320,0.2,20,100,100,100,100,100,100,100,
321,0.2,20,100,100,100,100,100,100,100,
322,0.2,20,100,100,100,100,100,100,100,
323,0.2,20,100,100,100,100,100,100,100,
324,0.2,20,100,100,100,100,100,100,100,
325,0.2,20,100,100,100,100,100,100,100,
326,0.2,20,100,100,100,100,100,100,100,
327,0.2,20,100,100,100,100,100,100,100,
328,0.2,20,100,100,100,100,100,100,100,
329,0.2,20,100,100,100,100,100,100,100,
330,0.2,20,100,100,100,100,100,100,100,
331,0.2,20,100,100,100,100,100,100,100,
332,0.2,20,100,100,100,100,100,100,100,
333,0.2,20,100,100,100,100,100,100,100,
334,0.2,20,100,100,100,100,100,100,100,
335,0.2,20,100,100,100,100,100,100,100,
336,0.2,20,100,100,100,100,100,100,100,
337,0.2,20,100,100,100,100,100,100,100,
338,0.2,20,100,100,100,100,100,100,100,
339,0.2,20,100,100,100,100,100,100,100,
340,0.2,20,100,100,100,100,100,100,100,
341,0.2,20,100,100,100,100,100,100,100,
342,0.2,20,100,100,100,100,100,100,100,
343,0.2,20,100,100,100,100,100,100,100,
344,0.2,20,100,100,100,100,100,100,100,
345,0.2,20,100,100,100,100,100,100,100,
346,0.2,20,100,100,100,100,100,100,100,
347,0.2,20,100,100,100,100,100,100,100,
348,0.2,20,100,100,100,100,100,100,100,
349,0.2,20,100,100,100,100,100,100,100,
350,0.2,20,100,100,100,100,100,100,100,
351,0.2,20,100,100,100,100,100,100,100,
352,0.2,20,100,100,100,100,100,100,100,
353,0.2,20,100,100,100,100,100,100,100,
354,0.2,20,100,100,100,100,100,100,100,
355,0.2,20,100,100,100,100,100,100,100,
356,0.2,20,100,100,100,100,100,100,100,
357,0.2,20,100,100,100,100,100,100,100,
358,0.2,20,100,100,100,100,100,100,100,
359,0.2,20,100,100,100,100,100,100,100,
360,0.2,20,100,100,100,100,100,100,100,
361,0.2,20,100,100,100,100,100,100,100,
362,0.2,20,100,100,100,100,100,100,100,
363,0.2,20,100,100,100,100,100,100,100,
364,0.2,20,100,100,100,100,100,100,100,
365,0.2,20,100,100,100,100,100,100,100,
366,0.2,20,100,100,100,100,100,100,100,
367,0.2,20,100,100,100,100,100,100,100,
368,0.2,20,100,100,100,100,100,100,100,
369,0.2,20,100,100,100,100,100,100,100,
370,0.2,20,100,100,100,100,100,100,100,
371,0.2,20,100,100,100,100,100,100,100,
372,0.2,20,100,100,100,100,100,100,100,
373,0.2,20,100,100,100,100,100,100,100,
374,0.2,20,100,100,100,100,100,100,100,
375,0.2,20,100,100,100,100,100,100,100,
376,0.2,20,100,100,100,100,100,100,100,
377,0.2,20,100,100,100,100,100,100,100,
378,0.2,20,100,100,100,100,100,100,100,
379,0.2,20,100,100,100,100,100,100,100,
380,0.2,20,100,100,100,100,100,100,100,
381,0.2,20,100,100,100,100,100,100,100,
382,0.2,20,100,100,100,100,100,100,100,
383,0.2,20,100,100,100,100,100,100,100,
384,0.2,20,100,100,100,100,100,100,100,
385,0.2,20,100,100,100,100,100,100,100,
386,0.2,20,100,100,100,100,100,100,100,
387,0.2,20,100,100,100,100,100,100,100,
388,0.2,20,100,100,100,100,100,100,100,
389,0.2,20,100,100,100,100,100,100,100,
390,0.2,20,100,100,100,100,100,100,100,
391,0.2,20,100,100,100,100,100,100,100,
392,0.2,20,100,100,100,100,100,100,100,
393,0.2,20,100,100,100,100,100,100,100,
394,0.2,20,100,100,100,100,100,100,100,
395,0.2,20,100,100,100,100,100,100,100,
396,0.2,20,100,100,100,100,100,100,100,
397,0.2,20,100,100,100,100,100,100,100,
398,0.2,20,100,100,100,100,100,100,100,
399,0.2,20,100,100,100,100,100,100,100,
400,0.2,20,100,100,100,100,100,100,100,
401,0.2,20,100,100,100,100,100,100,100,
402,0.2,20,100,100,100,100,100,100,100,
403,0.2,20,100,100,100,100,100,100,100,
404,0.2,20,100,100,100,100,100,100,100,
405,0.2,20,100,100,100,100,100,100,100,
406,0.2,20,100,100,100,100,100,100,100,
407,0.2,20,100,100,100,100,100,100,100,
408,0.2,20,100,100,100,100,100,100,100,
409,0.2,20,100,100,100,100,100,100,100,
410,0.2,20,100,100,100,100,100,100,100,
411,0.2,20,100,100,100,100,100,100,100,
412,0.2,20,100,100,100,100,100,100,100,
413,0.2,20,100,100,100,100,100,100,100,
414,0.2,20,100,100,100,100,100,100,100,
415,0.2,20,100,100,100,100,100,100,100,
416,0.2,20,100,100,100,100,100,100,100,
417,0.2,20,100,100,100,100,100,100,100,
418,0.2,20,100,100,100,100,100,100,100,
419,0.2,20,100,100,100,100,100,100,100,
420,0.2,20,100,100,100,100,100,100,100,
421,0.2,20,100,100,100,100,100,100,100,
422,0.2,20,100,100,100,100,100,100,100,
423,0.2,20,100,100,100,100,100,100,100,
424,0.2,20,100,100,100,100,100,100,100,
425,0.2,20,100,100,100,100,100,100,100,
426,0.2,20,100,100,100,100,100,100,100,
427,0.2,20,100,100,100,100,100,100,100,
428,0.2,20,100,100,100,100,100,100,100,
429,0.2,20,100,100,100,100,100,100,100,
430,0.2,20,100,100,100,100,100,100,100,
431,0.2,20,100,100,100,100,100,100,100,
432,0.2,20,100,100,100,100,100,100,100,
433,0.2,20,100,100,100,100,100,100,100,
434,0.2,20,100,100,100,100,100,100,100,
435,0.2,20,100,100,100,100,100,100,100,
436,0.2,20,100,100,100,100,100,100,100,
437,0.2,20,100,100,100,100,100,100,100,
438,0.2,20,100,100,100,100,100,100,100,
439,0.2,20,100,100,100,100,100,100,100,
440,0.2,20,100,100,100,100,100,100,100,
441,0.2,20,100,100,100,100,100,100,100,
442,0.2,20,100,100,100,100,100,100,100,
443,0.2,20,100,100,100,100,100,100,100,
444,0.2,20,100,100,100,100,100,100,100,
445,0.2,20,100,100,100,100,100,100,100,
446,0.2,20,100,100,100,100,100,100,100,
447,0.2,20,100,100,100,100,100,100,100,
448,0.2,20,100,100,100,100,100,100,100,
449,0.2,20,100,100,100,100,100,100,100,
450,0.2,20,100,100,100,100,100,100,100,
451,0.2,20,100,100,100,100,100,100,100,
452,0.2,20,100,100,100,100,100,100,100,
453,0.2,20,100,100,100,100,100,100,100,
454,0.2,20,100,100,100,100,100,100,100,
455,0.2,20,100,100,100,100,100,100,100,
456,0.2,20,100,100,100,100,100,100,100,
457,0.2,20,100,100,100,100,100,100,100,
458,0.2,20,100,100,100,99.96872021,100,100,100,
459,0.2,20,100,100,100,99.92526811,100,100,100,
460,0.2,20,100,100,100,99.80616121,100,99.94675899,100,
461,0.2,20,100,100,100,99.73903499,100,99.91822028,100,
462,0.2,20,100,100,100,99.71435299,100,99.90772673,100,
463,0.2,20,100,100,100,99.70527753,100,99.9038683,100,
464,0.2,20,100,100,100,99.70194052,100,99.90244957,100,
465,0.2,20,100,100,100,99.70071352,100,99.90192791,100,
466,0.2,20,100,100,100,99.70026236,100,99.9017361,100,
467,0.2,20,100,100,100,99.70009647,100,99.90166557,100,
468,0.2,20,100,100,100,99.65706802,100,99.85867218,100,
469,0.2,20,100,100,100,99.45661121,100,99.71277405,100,
470,0.2,20,100,100,100,99.35758522,100,99.64834385,100,
471,0.2,20,100,100,100,99.32117382,100,99.62465316,100,
472,0.2,20,100,100,100,99.26454868,100,99.57270535,100,
